Institute of Education,Total students,Total FE students,FE Full-time,FE Part-time,Total PG students,PG Full-time,PG Part-time,PG UK,PG EU,PG Non-EU,Total UG students,UG Full-time,UG Part-time,UG UK,UG EU,UG Non-EU
The University of Aberdeen,14855,0,0,0,4095,2715,1380,2425,285,1385,10760,9590,1170,9035,1120,605
University of Abertay Dundee,4050,0,0,0,490,315,175,185,50,260,3560,3280,280,2950,530,75
The University of Dundee,15615,90,15,75,4970,1570,3400,3825,235,910,10550,8735,1815,9715,480,350
Edinburgh College of Art,1550,0,0,0,225,205,20,100,40,85,1325,1275,45,1105,120,100
Edinburgh Napier University,13645,0,0,0,2195,1090,1105,1270,235,685,11455,9215,2240,9155,1490,805
The University of Edinburgh,24525,0,0,0,7235,5200,2035,4340,1005,1890,17285,16590,695,14700,1090,1500
Glasgow Caledonian University,18410,0,0,0,3275,1700,1575,1935,165,1175,15135,11305,3830,14495,250,390
Glasgow School of Art,1765,0,0,0,285,240,45,165,35,85,1480,1420,60,1100,155,225
The University of Glasgow,24240,0,0,0,5230,3375,1855,3560,365,1305,19010,14865,4145,17500,855,655
Heriot-Watt University,10430,0,0,0,4645,1575,3070,2700,410,1535,5785,5360,425,4325,745,715
Queen Margaret University-Edinburgh,5045,0,0,0,1175,395,780,795,125,255,3870,2910,960,3370,235,265
The Robert Gordon University,13625,0,0,0,4190,1905,2285,2270,190,1735,9435,6735,2700,8430,725,280
The Royal Scottish Academy of Music and Drama,765,0,0,0,160,125,35,95,15,50,605,605,0,525,30,45
The University of St Andrews,9275,0,0,0,1850,1565,285,685,310,855,7420,7080,345,4860,695,1870
Scottish Agricultural College,860,50,15,35,110,55,55,40,45,25,700,585,115,680,15,5
The University of Stirling,10125,0,0,0,2575,1470,1105,1450,160,965,7550,6540,1005,6920,340,290
The University of Strathclyde,21300,0,0,0,6690,3390,3300,5230,305,1160,14610,11930,2680,13630,265,720
UHI Millennium Institute,7665,0,0,0,500,60,440,440,30,30,7165,2965,4200,6985,75,105
The University of the West of Scotland,17895,0,0,0,1750,800,950,1335,125,290,16145,8085,8055,15635,245,265
The Queen's University of Belfast,22810,0,0,0,5300,3060,2240,3890,750,655,17510,13080,4430,16470,455,590
St Mary's University College,990,0,0,0,120,20,100,115,5,0,870,860,10,850,20,0
Stranmillis University College,1280,0,0,0,115,15,100,110,5,0,1165,935,230,1135,35,0
University of Ulster,23160,0,0,0,4745,1645,3100,3265,1150,325,18415,14925,3490,16895,1270,250
