NLC,Origin TLC,Station Name,Location for map,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Total usage,Percentage change,Interchanges
5886,BCU,Brockenhurst,SO42 7TW,South East,Hampshire,New Forest,UKJ3,Hampshire and Isle of Wight,South West Trains,1196474,-12,244689
5404,BCY,Brockley,SE4 2RW,London,Greater London,Lewisham,UKI1,Inner London,Southern,3292454,21,0
2697,BMC,Bromley Cross,BL7 9PZ,North West,Greater Manchester,Bolton,UKD3,Greater Manchester,Northern Rail,398726,17,0
4715,BMV,Bromsgrove,B60 2LX,West Midlands,Worcestershire,Bromsgrove,UKG1,Herefordshire Worcestershire and Warwickshire,London Midland Trains,523036,12,0
1437,BSY,Brondesbury,NW6 7QB,London,Greater London,Brent,UKI2,Outer London,London Overground,1782512,52,0
1438,BSP,Brondesbury Park,NW6 6RP,London,Greater London,Brent,UKI2,Outer London,London Overground,1112774,50,0
6958,BCV,Bruce Grove,N17 6QA,London,Greater London,Haringey,UKI1,Inner London,National Express East Anglia,444100,23,0
2222,BYN,Bryn,WN4 0AR,North West,Greater Manchester,Wigan,UKD3,Greater Manchester,Northern Rail,176950,17,0
2945,BNA,Burnage,M20 6FJ,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,215648,15,0
2743,BUB,Burnley Barracks,BB12 0HG,North West,Lancashire,Burnley,UKD4,Lancashire,Northern Rail,17186,23,0
992,CAC,Caldercruix,MI6 7RJ ,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,90976,718,0
1439,CIR,Caledonian Road & Barnsbury,N1 1DF,London,Greater London,Islington,UKI1,Inner London,London Overground,977884,70,0
3504,CBN,Camborne,TR14 8SR,South West,Cornwall And Isles Of Scilly,Kerrier,UKK3,Cornwall and Isles of Scilly,First Great Western,275544,11,0
6962,CBH,Cambridge Heath,E2 9EG,London,Greater London,Tower Hamlets,UKI1,Inner London,National Express East Anglia,266510,19,0
1440,CMD,Camden Road,NW1 9LS,London,Greater London,Camden,UKI1,Inner London,London Overground,3085394,68,24093
1659,CAW,Canada Water,SE16 2YS ,London,Greater London,Southwark,UKI1,Inner London,London Overground,4883228,75,0
1129,CNL,Canley,CV5 6BH,West Midlands,West Midlands,Coventry,UKG3,West Midlands,London Midland Trains,221218,13,0
1016,CAO,Cannock,WS11 8NQ,West Midlands,Staffordshire,Cannock Chase,UKG2,Shropshire and Staffordshire,London Midland Trains,253484,13,0
1441,CNN,Canonbury,N1 2PG,London,Greater London,Islington,UKI1,Inner London,London Overground,2102340,172,72868
5007,CBW,Canterbury West,CT2 8AN,South East,Kent,Canterbury,UKJ4,Kent,Southeastern,2130720,11,101987
2186,CPU,Capenhurst,CH1 6HE,North West,Cheshire,Chester,UKD2,Cheshire,Merseyrail,113312,-14,0
3542,CBB,Carbis Bay,TR26 2NN,South West,Cornwall And Isles Of Scilly,Penwith,UKK3,Cornwall and Isles of Scilly,First Great Western,206736,274,0
9877,CRF,Carfin,ML1 5AU,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,92730,14,0
6201,CTO,Carlton,NG4 2FD,East Midlands,Nottinghamshire,Gedling,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,22372,11,0
9897,CAY,Carntyne,G32 6AW,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,248398,18,0
9704,CRS,Carstairs,ML11 8PR,Scotland,South Lanarkshire,South Lanarkshire,UKM3,South Western Scotland,First ScotRail,13548,27,3137
2919,CAS,Castleton,OL11 3EB,North West,Greater Manchester,Rochdale,UKD3,Greater Manchester,Northern Rail,152856,21,0
7051,CWC,Chappel & Wakes Colne,CO6 2DS,East,Essex,Colchester,UKH3,Essex,National Express East Anglia,38082,16,0
9911,CHC,Charing Cross (Glasgow),G2 3HW,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,2046692,25,0
2870,CHU,Cheadle Hulme,SK8 5AF,North West,Greater Manchester,Stockport,UKD3,Greater Manchester,Northern Rail,697472,13,3720
2573,CYT,Cherry Tree,BB2 2TZ,North West,Blackburn With Darwen,Blackburn With Darwen,UKD4,Lancashire,Northern Rail,40748,23,0
1130,CRD,Chester Road,B73 5JS,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,747938,32,0
5595,CLJ,Clapham Junction,SW11 1SP,London,Greater London,Wandsworth,UKI1,Inner London,South West Trains,21918116,11,21609997
6926,CPT,Clapton,E5 9JP,London,Greater London,Hackney,UKI1,Inner London,National Express East Anglia,1161120,16,2
9718,CEA,Cleland,ML1 5RR,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,86660,16,0
2574,CLH,Clitheroe,BB7 2ED,North West,Lancashire,Ribble Valley,UKD4,Lancashire,Northern Rail,338730,26,0
4070,CUW,Clunderwen,SA66 7NG,Wales - Cymru,Pembrokeshire - Sir Benfro,Pembrokeshire - Sir Benfro,UKL1,West Wales and the Valleys,Arriva Trains Wales,24812,12,0
9747,CBC,Coatbridge Central,ML5 1RL,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,54472,12,0
9752,CBS,Coatbridge Sunnyside,ML5 2DF,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,642576,19,0
